parcours,num,choix retenus,UE1,UE2,UE3,UE4,UE5,UE6,UE7,UE8
IMA,102,1 2 3 4,anglais_td1,conferences_td1,projet(6)_td1,ig3d_td1,,,,
IMA,103,1 2 3 4 6 7 10 11,anglais_td1,conferences_td1,projet(6)_td1,ig3d_td1,mll_td1,iamsi_td1,rp_td1,dj_td1
IMA,104,1 2 3 4 6 8 9,anglais_td1,conferences_td1,projet(6)_td1,ig3d_td1,anum_td1,rp_td1,ml_td1,
IMA,105,1 2 3 4 5 7 8,anglais_td1,conferences_td1,projet(6)_td1,ig3d_td1,anum_td1,ml_td1,rp_td1,
IMA,106,1 2 3 4 6 10 11,anglais_td1,conferences_td1,projet(6)_td1,ig3d_td1,mll_td1,fosyma_td1,rp_td1,
IMA,107,1 2 3 4 5 8 10,anglais_td1,conferences_td1,projet(6)_td1,ig3d_td1,mll_td1,rp_td1,iamsi_td1,
IMA,108,1 2 3 4 5 7 8,anglais_td1,conferences_td1,projet(6)_td1,ig3d_td1,anum_td1,ml_td1,iamsi_td2,
IMA,109,1 3 7 8,ig3d_td1,mll_td1,rp_td1,dj_td1,,,,
IMA,110,1 4 5,mll_td1,iamsi_td1,arob_td1,,,,,
IMA,111,1 2 3 4 5 10 11,anglais_td1,conferences_td1,projet(6)_td1,ig3d_td1,mll_td1,rp_td1,iamsi_td1,
IMA,112,1 2 3 4 5 8 10,anglais_td1,conferences_td1,projet(6)_td1,ig3d_td1,mll_td1,rp_td1,iamsi_td1,
IMA,113,1 2 3 4 6 7 10,anglais_td1,conferences_td1,projet(6)_td1,ig3d_td1,anum_td1,ml_td1,rp_td1,
IMA,114,1 2 3 4 5 7 10,anglais_td1,conferences_td1,projet(6)_td1,ig3d_td1,anum_td1,ml_td1,dj_td1,
IMA,115,1 2 3 4 6 8 10,anglais_td1,conferences_td1,projet(6)_td1,ig3d_td1,anum_td1,ml_td1,rp_td1,
IMA,116,1 2 3 4 5 9 10,anglais_td1,conferences_td1,projet(6)_td1,ig3d_td1,mll_td1,fosyma_td1,iamsi_td2,
